rebalance_date,ticker,name,market_cap,p_pre_surge,fold_id,rank_in_month
2020-01-31,042700,한미반도체,497847843000.0,0.9605538318081757,1,1
2020-01-31,082740,HSD엔진,133765396520.0,0.9575222005707176,1,2
2020-01-31,137400,피엔티,142142329600.0,0.9485810188669512,1,3
2020-01-31,071970,STX중공업,75399447735.0,0.9395840318696365,1,4
2020-01-31,068760,셀트리온제약,1430037954750.0,0.9277711153292773,1,5
2020-01-31,003090,대웅,665725671000.0,0.9263724389671488,1,6
2020-01-31,014680,한솔케미칼,1231176255000.0,0.9204787229604586,1,7
2020-01-31,267260,현대일렉트릭,354703808400.0,0.9158404695204143,1,8
2020-01-31,005420,코스모화학,232125234250.0,0.9118457340330891,1,9
2020-01-31,237690,에스티팜,514905600000.0,0.9111174609740574,1,10
2020-01-31,077360,덕산하이메탈,177885862830.0,0.909626814872474,1,11
2020-01-31,064260,다날,186526419300.0,0.9090648498796523,1,12
2020-01-31,064760,티씨케이,700500000000.0,0.8877269499099973,1,13
2020-01-31,084370,유진테크,391864318200.0,0.8869003233380552,1,14
2020-01-31,222800,심텍,249144901050.0,0.8616721554704119,1,15
2020-01-31,078600,대주전자재료,269925223750.0,0.8452993388535198,1,16
2020-01-31,096530,씨젠,789644002000.0,0.8427136078337731,1,17
2020-01-31,067310,하나마이크론,169371520200.0,0.8409966856278701,1,18
2020-01-31,001430,세아베스틸,462621335100.0,0.8355053752166157,1,19
2020-01-31,086520,에코프로,452848915500.0,0.8336792830111233,1,20
2020-01-31,166090,하나머티리얼즈,348391213500.0,0.8331381889800011,1,21
2020-01-31,033240,자화전자,179000000000.0,0.8294345700229633,1,22
2020-01-31,196170,알테오젠,886612650000.0,0.8196787180222568,1,23
2020-01-31,007390,네이처셀,361635258090.0,0.813075045838789,1,24
2020-01-31,006650,대한유화,607750000000.0,0.7604262212374956,1,25
2020-01-31,089970,에이피티씨,197494057500.0,0.7497774760122574,1,26
2020-01-31,025540,한국단자,398373750000.0,0.741273134511734,1,27
2020-01-31,112040,위메이드,537600000000.0,0.7284967569737637,1,28
2020-01-31,131290,티에스이,163709149200.0,0.7134539979277842,1,29
2020-01-31,075580,세진중공업,155217652400.0,0.7127416862359576,1,30
2020-02-28,137400,피엔티,178661655000.0,0.9624658402995233,1,1
2020-02-28,084370,유진테크,425092579100.0,0.9383781632323678,1,2
2020-02-28,064760,티씨케이,774052500000.0,0.936715127015556,1,3
2020-02-28,003090,대웅,590141097000.0,0.9341151791806105,1,4
2020-02-28,042700,한미반도체,446002998660.0,0.9150127812384501,1,5
2020-02-28,067310,하나마이크론,160119363360.0,0.9001695671705744,1,6
2020-02-28,007390,네이처셀,444242296740.0,0.8859858438287709,1,7
2020-02-28,196170,알테오젠,1202068875000.0,0.8600927397260882,1,8
2020-02-28,068760,셀트리온제약,1360287717600.0,0.8600217568189883,1,9
2020-02-28,082740,HSD엔진,116632882680.0,0.8522881335258664,1,10
2020-02-28,237690,에스티팜,539158400000.0,0.8322653145350231,1,11
2020-02-28,005420,코스모화학,201053352500.0,0.8320962907530434,1,12
2020-02-28,267260,현대일렉트릭,311086775050.0,0.8248885540293167,1,13
2020-02-28,064260,다날,207834900975.0,0.8208761921285362,1,14
2020-02-28,001430,세아베스틸,390897097100.0,0.812391634773512,1,15
2020-02-28,007810,코리아써키트,257466185900.0,0.8108469614016226,1,16
2020-02-28,086520,에코프로,502551845250.0,0.801004781400942,1,17
2020-02-28,006650,대한유화,556400000000.0,0.7667459635130279,1,18
2020-02-28,096530,씨젠,957541730000.0,0.7378781673655965,1,19
2020-02-28,112040,위메이드,507360000000.0,0.737583981919953,1,20
2020-02-28,028300,에이치엘비,4158015256500.0,0.6893065197211228,1,21
2020-02-28,020150,일진머티리얼즈,2137237202250.0,0.6633832268599106,1,22
2020-02-28,033240,자화전자,157878000000.0,0.6550291538360008,1,23
2020-02-28,166090,하나머티리얼즈,314042784000.0,0.603835360498566,1,24
2020-02-28,071970,STX중공업,62121487440.0,0.5950372876164587,1,25
2020-02-28,075580,세진중공업,127781157600.0,0.58166969985039,1,26
2020-02-28,078600,대주전자재료,244460580000.0,0.5733532334155845,1,27
2020-02-28,014680,한솔케미칼,1048194096000.0,0.5712693604771284,1,28
2020-02-28,059090,미코,240511511040.0,0.5556212604791783,1,29
2020-02-28,131290,티에스이,139374005400.0,0.5381543881803664,1,30
2020-03-31,068760,셀트리온제약,2723984677600.0,0.9486531602217888,1,1
2020-03-31,166090,하나머티리얼즈,271843284900.0,0.8104878105748644,1,2
2020-03-31,007390,네이처셀,544594551100.0,0.766048450613664,1,3
2020-03-31,109610,에스와이,105126096600.0,0.6317504746391182,1,4
2020-03-31,017180,명문제약,127315287770.0,0.6311432434763808,1,5
2020-03-31,064760,티씨케이,721515000000.0,0.6244447374129025,1,6
2020-03-31,003090,대웅,651190176000.0,0.6209322945292414,1,7
2020-03-31,093320,케이아이엔엑스,253760000000.0,0.5949367520811374,1,8
2020-03-31,042700,한미반도체,353815311870.0,0.5777354921423645,1,9
2020-03-31,069080,웹젠,446682682600.0,0.5584441873915319,1,10
2020-03-31,064260,다날,183565227780.0,0.5352954013640786,1,11
2020-03-31,005420,코스모화학,157970491250.0,0.5119518582666447,1,12
2020-03-31,014680,한솔케미칼,891190885500.0,0.49657175605496495,1,13
2020-03-31,088800,에이스테크,281720659500.0,0.4721966388864614,1,14
2020-03-31,102940,코오롱생명과학,201998701200.0,0.4158270749603615,1,15
2020-03-31,061970,엘비세미콘,258766938720.0,0.4042650682671737,1,16
2020-03-31,053700,삼보모터스,55212868830.0,0.40338026807750005,1,17
2020-03-31,005070,코스모신소재,199471121300.0,0.397799933336606,1,18
2020-03-31,053030,바이넥스,342803318400.0,0.39498820772961096,1,19
2020-03-31,285130,SK케미칼,993322101600.0,0.37276079010520896,1,20
2020-03-31,006650,대한유화,567450000000.0,0.35293570077442016,1,21
2020-03-31,001430,세아베스틸,268965892500.0,0.3347482173542908,1,22
2020-03-31,020150,일진머티리얼즈,1447880219000.0,0.3281214745596857,1,23
2020-03-31,033160,엠케이전자,124739981080.0,0.3037063178165687,1,24
2020-03-31,249420,일동제약,299921391000.0,0.2776455174016728,1,25
2020-03-31,033240,자화전자,105431000000.0,0.27566086088498815,1,26
2020-03-31,059090,미코,352311783750.0,0.26223373527899146,1,27
2020-03-31,026890,디피씨,251319395250.0,0.24912548941519216,1,28
2020-03-31,035150,백산,126808000000.0,0.24220123446380123,1,29
2020-03-31,096530,씨젠,2914599622000.0,0.24085368661675927,1,30
2020-04-29,068760,셀트리온제약,2527177196600.0,0.8607474522789849,1,1
2020-04-29,166090,하나머티리얼즈,342502911300.0,0.8032040859050887,1,2
2020-04-29,064260,다날,261820453185.0,0.7304402530985246,1,3
2020-04-29,137400,피엔티,192397027420.0,0.7251320236541249,1,4
2020-04-29,071970,STX중공업,63823446000.0,0.7169351565188832,1,5
2020-04-29,067310,하나마이크론,141984163965.0,0.5898132565563898,1,6
2020-04-29,007390,네이처셀,676153908950.0,0.5887057420198425,1,7
2020-04-29,053700,삼보모터스,67128108000.0,0.5580909320801921,1,8
2020-04-29,225570,넷게임즈,225231277920.0,0.5570753624338551,1,9
2020-04-29,005420,코스모화학,200792244250.0,0.5432298346781053,1,10
2020-04-29,069080,웹젠,587926218600.0,0.5309487389022377,1,11
2020-04-29,017180,명문제약,121405100330.0,0.49470030071727034,1,12
2020-04-29,020150,일진머티리얼즈,1837516774750.0,0.4945090868869342,1,13
2020-04-29,042700,한미반도체,403256752830.0,0.4928081164121645,1,14
2020-04-29,001430,세아베스틸,333159085510.0,0.44450920668962035,1,15
2020-04-29,014680,한솔케미칼,969127731000.0,0.44013522719654347,1,16
2020-04-29,032620,유비케어,375819400800.0,0.43348637490553943,1,17
2020-04-29,064760,티씨케이,840600000000.0,0.43338100691359027,1,18
2020-04-29,033500,동성화인텍,214789527640.0,0.4141685988788164,1,19
2020-04-29,249420,일동제약,308252540750.0,0.41173572727103164,1,20
2020-04-29,093320,케이아이엔엑스,300120000000.0,0.40824806606915465,1,21
2020-04-29,061970,엘비세미콘,315249062400.0,0.40522915283292876,1,22
2020-04-29,102940,코오롱생명과학,422827789800.0,0.40137975610830406,1,23
2020-04-29,006650,대한유화,913250000000.0,0.3932628044274708,1,24
2020-04-29,105630,한세실업,478000000000.0,0.3900315907858524,1,25
2020-04-29,109610,에스와이,106627897980.0,0.3828701852831576,1,26
2020-04-29,088800,에이스테크,347021996930.0,0.3783809990421277,1,27
2020-04-29,003090,대웅,1011670452000.0,0.3774745954224668,1,28
2020-04-29,101530,해태제과식품,205855931540.0,0.37692761320006574,1,29
2020-04-29,053030,바이넥스,369783209200.0,0.3676348438283167,1,30
2020-05-29,090850,이지웰,148646995200.0,0.8180030522441435,1,1
2020-05-29,272450,진에어,321000000000.0,0.7595725389926072,1,2
2020-05-29,065660,안트로젠,556352561800.0,0.7093361986730536,1,3
2020-05-29,061970,엘비세미콘,319189675680.0,0.7049860502545428,1,4
2020-05-29,084690,대상홀딩스,277750166460.0,0.6841108260408356,1,5
2020-05-29,004430,송원산업,346800000000.0,0.6724712381247524,1,6
2020-05-29,088800,에이스테크,346614215500.0,0.5591121736852035,1,7
2020-05-29,077970,STX엔진,147947252720.0,0.5567006996972738,1,8
2020-05-29,068760,셀트리온제약,3283482826400.0,0.5480749682489161,1,9
2020-05-29,101160,월덱스,146782727770.0,0.5314121715887321,1,10
2020-05-29,091810,티웨이항공,178034537480.0,0.5152380607727526,1,11
2020-05-29,014680,한솔케미칼,1101281512500.0,0.5088810246610528,1,12
2020-05-29,064760,티씨케이,974862500000.0,0.48163386272629677,1,13
2020-05-29,069080,웹젠,647954721400.0,0.459526106307939,1,14
2020-05-29,030520,한글과컴퓨터,293283828000.0,0.4535290516609043,1,15
2020-05-29,298690,에어부산,200729850000.0,0.4437507200723312,1,16
2020-05-29,033500,동성화인텍,269566253910.0,0.44049106387673725,1,17
2020-05-29,094480,갤럭시아컴즈,137696731380.0,0.43988099533338737,1,18
2020-05-29,007660,이수페타시스,145471102950.0,0.4393231472181879,1,19
2020-05-29,075580,세진중공업,135071974400.0,0.436566513311489,1,20
2020-05-29,109610,에스와이,101252344690.0,0.4332841039322277,1,21
2020-05-29,137400,피엔티,249668725900.0,0.42626594441596655,1,22
2020-05-29,086960,한컴MDS,103294713600.0,0.4246343321808407,1,23
2020-05-29,299900,위지윅스튜디오,148593312450.0,0.4145202896599105,1,24
2020-05-29,267260,현대일렉트릭,298109806450.0,0.40715509466316674,1,25
2020-05-29,036810,에프에스티,263039582000.0,0.3963447772869933,1,26
2020-05-29,241710,코스메카코리아,111606000000.0,0.39312388093356093,1,27
2020-05-29,017180,명문제약,180151499050.0,0.37058213988323374,1,28
2020-05-29,009520,포스코엠텍,240278396310.0,0.36696051777893074,1,29
2020-05-29,247540,에코프로비엠,2513603503400.0,0.35877943171868654,1,30
2020-06-30,075580,세진중공업,239445772800.0,0.8123301996712882,1,1
2020-06-30,061970,엘비세미콘,354655195200.0,0.7849000729653793,1,2
2020-06-30,036890,진성티이씨,175586513080.0,0.7738222510260002,1,3
2020-06-30,084690,대상홀딩스,292235181660.0,0.7208695976514428,1,4
2020-06-30,065660,안트로젠,631395673500.0,0.6966799327845055,1,5
2020-06-30,014680,한솔케미칼,1434489765000.0,0.6791764643462351,1,6
2020-06-30,030520,한글과컴퓨터,378824944500.0,0.6773254702316603,1,7
2020-06-30,077500,유니퀘스트,276495896250.0,0.6565451539096192,1,8
2020-06-30,272450,진에어,309000000000.0,0.6243871526358532,1,9
2020-06-30,090850,이지웰,149680893000.0,0.5968503826440089,1,10
2020-06-30,089010,켐트로닉스,200369056250.0,0.5775788113722424,1,11
2020-06-30,088800,에이스테크,583127444900.0,0.5673755305820921,1,12
2020-06-30,007660,이수페타시스,144026709020.0,0.5553054438275575,1,13
2020-06-30,249420,일동제약,355859110750.0,0.5328033215180508,1,14
2020-06-30,077970,STX엔진,138973780160.0,0.5170191908798771,1,15
2020-06-30,017810,풀무원,653259792500.0,0.5150839622541592,1,16
2020-06-30,033500,동성화인텍,232598709580.0,0.5144000458283944,1,17
2020-06-30,241710,코스메카코리아,127626000000.0,0.5082531563182768,1,18
2020-06-30,101160,월덱스,153717344830.0,0.5047378561442974,1,19
2020-06-30,082740,HSD엔진,161440995800.0,0.47959781777779376,1,20
2020-06-30,064760,티씨케이,1011055000000.0,0.46222151594935884,1,21
2020-06-30,078140,대봉엘에스,113083105800.0,0.44058593663906387,1,22
2020-06-30,230360,에코마케팅,579921944600.0,0.4387674074796743,1,23
2020-06-30,069080,웹젠,773308359600.0,0.43759263396339476,1,24
2020-06-30,095700,제넥신,2236650768300.0,0.43148551459405493,1,25
2020-06-30,086960,한컴MDS,109916169600.0,0.42964530177761456,1,26
2020-06-30,048410,현대바이오,475885370250.0,0.4284524471939282,1,27
2020-06-30,086890,이수앱지스,171466880480.0,0.42725313156490974,1,28
2020-06-30,137400,피엔티,259499794800.0,0.4230822861378196,1,29
2020-06-30,005070,코스모신소재,362674766000.0,0.4067246124155074,1,30
2020-07-31,075580,세진중공업,267074131200.0,0.7954061627164378,1,1
2020-07-31,272450,진에어,300000000000.0,0.6924709843935636,1,2
2020-07-31,061970,엘비세미콘,413326548480.0,0.6372264509268962,1,3
2020-07-31,033240,자화전자,221065000000.0,0.6289373262788414,1,4
2020-07-31,084690,대상홀딩스,303823193820.0,0.5908262148690538,1,5
2020-07-31,036890,진성티이씨,175586513080.0,0.5472680650636815,1,6
2020-07-31,000490,대동공업,182944499100.0,0.5441164003833805,1,7
2020-07-31,241710,코스메카코리아,148986000000.0,0.5350950100753882,1,8
2020-07-31,230360,에코마케팅,771069401200.0,0.5311225225224633,1,9
2020-07-31,077500,유니퀘스트,311003115000.0,0.525314668595689,1,10
2020-07-31,033500,동성화인텍,269836090000.0,0.5209463711492301,1,11
2020-07-31,030520,한글과컴퓨터,413041391100.0,0.5082680720524068,1,12
2020-07-31,033160,엠케이전자,216986505550.0,0.5011970187417648,1,13
2020-07-31,051370,인터플렉스,360409442400.0,0.4772410576573896,1,14
2020-07-31,068240,다원시스,546723314900.0,0.476247064692046,1,15
2020-07-31,007660,이수페타시스,176835085430.0,0.4752314665736311,1,16
2020-07-31,094480,갤럭시아컴즈,218117899280.0,0.4531634622780295,1,17
2020-07-31,088800,에이스테크,780248528400.0,0.44320233315221663,1,18
2020-07-31,112610,씨에스윈드,1374214342500.0,0.42879017937528946,1,19
2020-07-31,089010,켐트로닉스,230970875750.0,0.41711291280904955,1,20
2020-07-31,013310,아진산업,97558779630.0,0.38095341537846134,1,21
2020-07-31,053700,삼보모터스,85923978240.0,0.3747973540240182,1,22
2020-07-31,137400,피엔티,315960001200.0,0.3685106000323517,1,23
2020-07-31,298690,에어부산,193700400000.0,0.36832563462234286,1,24
2020-07-31,064760,티씨케이,1085775000000.0,0.36128440221727104,1,25
2020-07-31,035900,JYP Ent.,1059525511200.0,0.3400859814146267,1,26
2020-07-31,032190,다우데이타,557265000000.0,0.3397411472975779,1,27
2020-07-31,078140,대봉엘에스,139136566450.0,0.33950503920730185,1,28
2020-07-31,299900,위지윅스튜디오,144830797520.0,0.33743974516067987,1,29
2020-07-31,091810,티웨이항공,117202155940.0,0.3348825581148816,1,30
2020-08-31,109610,에스와이,136671891720.0,0.8132696611296679,1,1
2020-08-31,075580,세진중공업,221410594400.0,0.7853131250423133,1,2
2020-08-31,061970,엘비세미콘,419894237280.0,0.6734799029463628,1,3
2020-08-31,068240,다원시스,640985955400.0,0.6606191862354778,1,4
2020-08-31,090850,이지웰,191123309360.0,0.618020295123328,1,5
2020-08-31,137400,피엔티,523342682400.0,0.5706012839525767,1,6
2020-08-31,033500,동성화인텍,247979366710.0,0.55806593998846,1,7
2020-08-31,079160,CJ CGV,772200000000.0,0.5291603876529168,1,8
2020-08-31,104480,티케이케미칼,174973710450.0,0.5219400764152136,1,9
2020-08-31,094480,갤럭시아컴즈,190853161870.0,0.4375713205673564,1,10
2020-08-31,033160,엠케이전자,223528812250.0,0.43726792316576046,1,11
2020-08-31,030520,한글과컴퓨터,481474284300.0,0.4334253144497861,1,12
2020-08-31,053700,삼보모터스,99853060650.0,0.4244034948640082,1,13
2020-08-31,078140,대봉엘에스,155766434950.0,0.41134832843785724,1,14
2020-08-31,298690,에어부산,190836550000.0,0.40106443919379386,1,15
2020-08-31,083790,크리스탈,864693988900.0,0.38696550342584557,1,16
2020-08-31,084690,대상홀딩스,418254813900.0,0.3598813992054541,1,17
2020-08-31,007660,이수페타시스,221611297260.0,0.3590100966947774,1,18
2020-08-31,067080,대화제약,360854485200.0,0.34944157300944734,1,19
2020-08-31,272450,진에어,267900000000.0,0.3455341987235403,1,20
2020-08-31,053280,예스24,154800000000.0,0.3390614445834086,1,21
