rebalance_date,ticker,name,market_cap,p_pre_surge,rank_in_month
2019-01-31,011930,신성이엔지,196347864255.0,0.9434440455362494,1
2019-01-31,222080,씨아이에스,136742997750.0,0.9331379801950214,2
2019-01-31,032500,케이엠더블유,443916000000.0,0.8897799496931392,3
2019-01-31,088800,에이스테크,186607551600.0,0.8505748827782627,4
2019-01-31,092200,디아이씨,164910789400.0,0.8492450427403523,5
2019-01-31,059090,미코,255543480480.0,0.8224650097918791,6
2019-01-31,189300,인텔리안테크,121647859200.0,0.8212990561678706,7
2019-01-31,036810,에프에스티,110476624440.0,0.8203090056522264,8
2019-01-31,060250,NHN한국사이버결제,284927409000.0,0.8174002153241796,9
2019-01-31,047920,씨트리,65918255480.0,0.8148203465983948,10
2019-01-31,112610,씨에스윈드,477085734000.0,0.8074102510655726,11
2019-01-31,011790,SKC,1452587278500.0,0.8039051384114371,12
2019-01-31,035720,카카오,8280405858900.0,0.7889242339762055,13
2019-01-31,050890,쏠리드,119800696080.0,0.771988432208824,14
2019-01-31,005290,동진쎄미켐,447306097800.0,0.7669821027171181,15
2019-01-31,101530,해태제과식품,320285042000.0,0.7606981985000897,16
2019-01-31,014990,인디에프,226892030750.0,0.7574088454418709,17
2019-01-31,064550,바이오니아,176752547760.0,0.7472033737672553,18
2019-01-31,222800,심텍,168371896600.0,0.7256009170548555,19
2019-01-31,000990,DB하이텍,572741785200.0,0.7200488225090214,20
2019-01-31,075580,세진중공업,168839968000.0,0.7199619198033919,21
2019-01-31,031980,피에스케이,275493234200.0,0.7019156846423366,22
2019-01-31,053450,세코닉스,89991288000.0,0.6984052735236209,23
2019-01-31,009520,포스코엠텍,433084111200.0,0.6925420468188674,24
2019-01-31,083650,비에이치아이,95290000000.0,0.6912321684498329,25
2019-01-31,036890,진성티이씨,196045376960.0,0.6882136320574365,26
2019-01-31,067630,에이치엘비생명과학,578963068750.0,0.6770897898156149,27
2019-01-31,028100,동아지질,247825000000.0,0.6700388107570291,28
2019-01-31,159580,제로투세븐,142231715600.0,0.6641744253296649,29
2019-01-31,000250,삼천당제약,1002498619550.0,0.6591670942427972,30
2019-02-28,011930,신성이엔지,192887989995.0,0.9313255783947453,1
2019-02-28,222080,씨아이에스,130308033150.0,0.9280306829919567,2
2019-02-28,032500,케이엠더블유,445797000000.0,0.9022869131980661,3
2019-02-28,088800,에이스테크,202158180900.0,0.8806270857949915,4
2019-02-28,005290,동진쎄미켐,521857114100.0,0.8458400147366147,5
2019-02-28,189300,인텔리안테크,125992425600.0,0.8401101470020063,6
2019-02-28,112610,씨에스윈드,518571450000.0,0.8361974048572451,7
2019-02-28,036810,에프에스티,121402884000.0,0.8336364665553565,8
2019-02-28,067630,에이치엘비생명과학,689673875000.0,0.8292687566745879,9
2019-02-28,047920,씨트리,66956883455.0,0.827750282990192,10
2019-02-28,222800,심텍,154265062020.0,0.8275787013819581,11
2019-02-28,011790,SKC,1452587278500.0,0.8267932502974354,12
2019-02-28,092200,디아이씨,155528285880.0,0.8174407747864042,13
2019-02-28,059090,미코,220155719090.0,0.8117301297412723,14
2019-02-28,035720,카카오,8630634505500.0,0.8087715826600341,15
2019-02-28,060250,NHN한국사이버결제,277256286450.0,0.7797722057981497,16
2019-02-28,050890,쏠리드,124792391750.0,0.7766613226154659,17
2019-02-28,089010,켐트로닉스,88748639190.0,0.7756594741727965,18
2019-02-28,093320,케이아이엔엑스,112972000000.0,0.7705885178520693,19
2019-02-28,064550,바이오니아,188714797200.0,0.7703463525015659,20
2019-02-28,006060,화승인더,435368400000.0,0.7700214855179023,21
2019-02-28,101530,해태제과식품,326108406400.0,0.7542996003272615,22
2019-02-28,000990,DB하이텍,552762420600.0,0.7450283054332121,23
2019-02-28,000250,삼천당제약,1122975300400.0,0.738673836470346,24
2019-02-28,032190,다우데이타,383000000000.0,0.720793410645814,25
2019-02-28,031980,피에스케이,284642456000.0,0.7136195769780446,26
2019-02-28,071970,STX중공업,167928751380.0,0.7006037292487927,27
