quarter,theme_key,theme_name_kr,abs_return_60d,rank_in_quarter
2020Q1,contactless,비대면/언택트 (COVID),0.026635766989793197,1
2020Q1,bio,바이오,0.021606176832723867,2
2020Q1,battery_primary_wave,2차전지 (2020-21 1차파동),0.002314575226596449,3
2020Q1,ai_semiconductor,AI/반도체,-0.031954691236149746,4
2020Q1,internet_platform,인터넷·플랫폼,-0.036441088868824634,5
2020Q2,bio,바이오,0.48428454352692935,1
2020Q2,internet_platform,인터넷·플랫폼,0.29911446376537004,2
2020Q2,contactless,비대면/언택트 (COVID),0.261175239605706,3
2020Q2,battery_primary_wave,2차전지 (2020-21 1차파동),0.18603317369444455,4
2020Q2,battery_secondary_wave,2차전지 (2023-24 광기),0.17665981703566147,5
2020Q3,nuclear,원전/SMR,0.8160966760244407,1
2020Q3,battery_secondary_wave,2차전지 (2023-24 광기),0.6427403701311897,2
2020Q3,battery_primary_wave,2차전지 (2020-21 1차파동),0.5943939439550385,3
2020Q3,bio,바이오,0.537714935390922,4
2020Q3,internet_platform,인터넷·플랫폼,0.5001382482738602,5
2020Q4,nuclear,원전/SMR,0.4716384033112331,1
2020Q4,iron_steel,철강/원자재,0.2664369228278211,2
2020Q4,automotive,자동차,0.22687604033942083,3
2020Q4,shipbuilding,조선,0.15720600898594794,4
2020Q4,battery_primary_wave,2차전지 (2020-21 1차파동),0.130502329617108,5
2021Q1,battery_secondary_wave,2차전지 (2023-24 광기),0.5048546074972232,1
2021Q1,battery_primary_wave,2차전지 (2020-21 1차파동),0.40701121940562596,2
2021Q1,automotive,자동차,0.3777312828517195,3
2021Q1,defense,방산,0.3706127322402077,4
2021Q1,ai_semiconductor,AI/반도체,0.32268659404602684,5
2021Q2,iron_steel,철강/원자재,0.6040731940592958,1
2021Q2,shipbuilding,조선,0.2222851936447831,2
2021Q2,ai_semiconductor,AI/반도체,0.20605216734951853,3
2021Q2,internet_platform,인터넷·플랫폼,0.18243475846364093,4
2021Q2,nuclear,원전/SMR,0.13899438884976048,5
2021Q3,battery_secondary_wave,2차전지 (2023-24 광기),0.4513661816779295,1
2021Q3,battery_primary_wave,2차전지 (2020-21 1차파동),0.2758411647572728,2
2021Q3,nuclear,원전/SMR,0.23541150569004687,3
2021Q3,internet_platform,인터넷·플랫폼,0.15540596384417124,4
2021Q3,defense,방산,0.097109275852535,5
2021Q4,metaverse,메타버스/NFT,0.7856329433009902,1
2021Q4,battery_secondary_wave,2차전지 (2023-24 광기),0.4180609513706797,2
2021Q4,battery_primary_wave,2차전지 (2020-21 1차파동),0.2555113093594588,3
2021Q4,ai_semiconductor,AI/반도체,0.09998665529681124,4
2021Q4,automotive,자동차,-0.03749546339182911,5
2022Q1,ai_semiconductor,AI/반도체,0.14524332369947116,1
2022Q1,nuclear,원전/SMR,0.061939908143275046,2
2022Q1,defense,방산,0.04518238049506332,3
2022Q1,shipbuilding,조선,0.0030450880589418597,4
2022Q1,iron_steel,철강/원자재,-0.05626583470035941,5
2022Q2,battery_primary_wave,2차전지 (2020-21 1차파동),0.1137114852161533,1
2022Q2,battery_secondary_wave,2차전지 (2023-24 광기),0.09165832126625065,2
2022Q2,shipbuilding,조선,0.07431887032733293,3
2022Q2,nuclear,원전/SMR,0.07065607381321738,4
2022Q2,defense,방산,0.026722951882334287,5
2022Q3,defense,방산,0.08263037803479258,1
2022Q3,battery_secondary_wave,2차전지 (2023-24 광기),0.07742227641701671,2
2022Q3,bio,바이오,0.06094174635783101,3
2022Q3,nuclear,원전/SMR,0.03700459345941059,4
2022Q3,automotive,자동차,0.027110314720780807,5
2022Q4,battery_secondary_wave,2차전지 (2023-24 광기),0.13369092716973416,1
2022Q4,battery_primary_wave,2차전지 (2020-21 1차파동),0.03346788300526233,2
2022Q4,nuclear,원전/SMR,0.031523092606636036,3
2022Q4,iron_steel,철강/원자재,0.005409977280463967,4
2022Q4,ai_semiconductor,AI/반도체,-0.01976124867185664,5
2023Q1,ai_semiconductor,AI/반도체,0.37312726050213574,1
2023Q1,battery_secondary_wave,2차전지 (2023-24 광기),0.29928212515878355,2
2023Q1,internet_platform,인터넷·플랫폼,0.15695888904277336,3
2023Q1,battery_primary_wave,2차전지 (2020-21 1차파동),0.14749423991957958,4
2023Q1,iron_steel,철강/원자재,0.13108478101947937,5
2023Q2,battery_secondary_wave,2차전지 (2023-24 광기),0.6850079705503006,1
2023Q2,battery_primary_wave,2차전지 (2020-21 1차파동),0.2756544280209302,2
2023Q2,iron_steel,철강/원자재,0.22457538940659483,3
2023Q2,ai_semiconductor,AI/반도체,0.16117063875343268,4
2023Q2,automotive,자동차,0.12717598471870192,5
2023Q3,ai_semiconductor,AI/반도체,0.2898288121691739,1
2023Q3,iron_steel,철강/원자재,0.2603043801033403,2
2023Q3,battery_secondary_wave,2차전지 (2023-24 광기),0.17753876231362425,3
2023Q3,nuclear,원전/SMR,0.08706281053118423,4
2023Q3,shipbuilding,조선,0.07758542386560664,5
2023Q4,bio,바이오,0.15545987491484492,1
2023Q4,metaverse,메타버스/NFT,0.08652398745781155,2
2023Q4,ai_semiconductor,AI/반도체,0.07182446032494147,3
2023Q4,nuclear,원전/SMR,0.0186471138079612,4
2023Q4,defense,방산,-0.004736182944719997,5
2024Q1,defense,방산,0.21908420727854427,1
2024Q1,nuclear,원전/SMR,0.19271167770809267,2
2024Q1,ai_semiconductor,AI/반도체,0.17530064347793856,3
2024Q1,automotive,자동차,0.17457705945716318,4
2024Q1,bio,바이오,0.15062906001113097,5
2024Q2,nuclear,원전/SMR,0.31377564705133454,1
2024Q2,ai_semiconductor,AI/반도체,0.2613558075430664,2
2024Q2,defense,방산,0.1258680436365553,3
2024Q2,automotive,자동차,0.08682367426307973,4
2024Q2,bio,바이오,0.07986907287554808,5
2024Q3,shipbuilding,조선,0.229779938195482,1
2024Q3,bio,바이오,0.17285544368305888,2
2024Q3,defense,방산,0.09787063955175343,3
2024Q3,nuclear,원전/SMR,0.06894028686373592,4
